KO	Gene_identification	A	B	C	D
K14455	GOT2; aspartate aminotransferase, mitochondrial [EC:2.6.1.1]	Pathway module	Energy metabolism	Carbon fixation	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
K06184	ABCF1; ATP-binding cassette, subfamily F, member 1	NA	NA	NA	NA
K05925	METTL3_14; mRNA (2'-O-methyladenosine-N6-)-methyltransferase [EC:2.1.1.62]	NA	NA	NA	NA
K15445	TRMT10A, TRM10, RG9MTD2; tRNA (guanine9-N1)-methyltransferase [EC:2.1.1.221]	NA	NA	NA	NA
K04392	RAC1; Ras-related C3 botulinum toxin substrate 1	NA	NA	NA	NA
K04988	PKD1L2; polycystin 1L2	NA	NA	NA	NA
K09861	K09861; uncharacterized protein	NA	NA	NA	NA
K02576	NDST1; heparan sulfate N-deacetylase/N-sulfotransferase NDST1 [EC:3.1.1.- 2.8.2.-]	Pathway module	Carbohydrate and lipid metabolism	Glycosaminoglycan metabolism	Glycosaminoglycan biosynthesis, heparan sulfate backbone
K06525	ITGB4, CD104; integrin beta 4	NA	NA	NA	NA
K18423	CSE1, CAS, XPO2; exportin-2 (importin alpha re-exporter)	NA	NA	NA	NA
K00981	E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase [EC:2.7.7.41]	Pathway module	Carbohydrate and lipid metabolism	Lipid metabolism	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE
K01783	rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Pentose phosphate pathway (Pentose phosphate cycle)
K01783	rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
K06276	PDPK1; 3-phosphoinositide dependent protein kinase-1 [EC:2.7.11.1]	NA	NA	NA	NA
K04712	DEGS; sphingolipid Delta-4 desaturase [EC:1.14.-.-]	Pathway module	Carbohydrate and lipid metabolism	Lipid metabolism	Ceramide biosynthesis
K04712	DEGS; sphingolipid Delta-4 desaturase [EC:1.14.-.-]	Pathway module	Carbohydrate and lipid metabolism	Lipid metabolism	Sphingosine biosynthesis
K00717	FUT8; glycoprotein 6-alpha-L-fucosyltransferase [EC:2.4.1.68]	Pathway module	Carbohydrate and lipid metabolism	Glycan metabolism	N-glycan biosynthesis, complex type
K01760	metC; cystathionine beta-lyase [EC:4.4.1.8]	Pathway module	Nucleotide and amino acid metabolism	Cysteine and methionine metabolism	Methionine biosynthesis, apartate => homoserine => methionine
K02113	ATPF1D, atpH; F-type H+-transporting ATPase subunit delta	Structural complex	Energy metabolism	ATP synthesis	F-type ATPase, prokaryotes and chloroplasts
K06112	MAGI3; membrane-associated guanylate kinase-related	NA	NA	NA	NA
K10755	RFC2_4; replication factor C subunit 2/4	Structural complex	Genetic information processing	Replication system	RF-C complex
K10755	RFC2_4; replication factor C subunit 2/4	Structural complex	Genetic information processing	Repair system	BRCA1-associated genome surveillance complex (BASC)
K01192	E3.2.1.25, MANBA, manB; beta-mannosidase [EC:3.2.1.25]	NA	NA	NA	NA
K03303	lctP; lactate permease	NA	NA	NA	NA
K02016	ABC.FEV.S; iron complex transport system substrate-binding protein	Structural complex	Environmental information processing	Metallic cation, iron-siderophore and vitamin B12 transport system	Iron complex transport system
K03462	NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12]	NA	NA	NA	NA
K05016	CLCN7; chloride channel 7	NA	NA	NA	NA
K03106	SRP54, ffh; signal recognition particle subunit SRP54 [EC:3.6.5.4]	Structural complex	Environmental information processing	Bacterial secretion system	Sec (secretion) system
K00895	pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]	NA	NA	NA	NA
K01537	E3.6.3.8; Ca2+-transporting ATPase [EC:3.6.3.8]	NA	NA	NA	NA
K03301	TC.AAA; ATP:ADP antiporter, AAA family	NA	NA	NA	NA
K02469	gyrA; DNA gyrase subunit A [EC:5.99.1.3]	NA	NA	NA	NA
K14676	NTE, NRE; lysophospholipid hydrolase [EC:3.1.1.5]	NA	NA	NA	NA
K03256	TRM6, GCD10; tRNA (adenine-N(1)-)-methyltransferase non-catalytic subunit	NA	NA	NA	NA
K06827	CTGF; connective tissue growth factor	NA	NA	NA	NA
K03116	tatA; sec-independent protein translocase protein TatA	Structural complex	Environmental information processing	Bacterial secretion system	Twin-arginine translocation (Tat) system
K00318	PRODH; proline dehydrogenase [EC:1.5.-.-]	NA	NA	NA	NA
K02991	RP-S6e, RPS6; small subunit ribosomal protein S6e	Structural complex	Genetic information processing	Ribosome	Ribosome, archaea
K02991	RP-S6e, RPS6; small subunit ribosomal protein S6e	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K02953	RP-S13e, RPS13; small subunit ribosomal protein S13e	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K10436	MAPRE; microtubule-associated protein, RP/EB family	NA	NA	NA	NA
K11850	USP26_29_37; ubiquitin carboxyl-terminal hydrolase 26/29/37 [EC:3.4.19.12]	NA	NA	NA	NA
K02898	RP-L26e, RPL26; large subunit ribosomal protein L26e	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K13963	SERPINB; serpin B	NA	NA	NA	NA
K12837	U2AF2; splicing factor U2AF 65 kDa subunit	NA	NA	NA	NA
K00759	APRT, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]	NA	NA	NA	NA
K05808	yhbH; putative sigma-54 modulation protein	NA	NA	NA	NA
K02838	frr, MRRF, RRF; ribosome recycling factor	NA	NA	NA	NA
K02149	ATPeV1D, ATP6M; V-type H+-transporting ATPase subunit D	Structural complex	Energy metabolism	ATP synthesis	V-type ATPase, eukaryotes
K04980	TRPM5; transient receptor potential cation channel subfamily M member 5	NA	NA	NA	NA
K01738	cysK; cysteine synthase A [EC:2.5.1.47]	Pathway module	Nucleotide and amino acid metabolism	Cysteine and methionine metabolism	Cysteine biosynthesis, serine => cysteine
K15731	CTDSP; carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase [EC:3.1.3.16]	NA	NA	NA	NA
K12479	VPS45; vacuolar protein sorting-associated protein 45	NA	NA	NA	NA
K14572	MDN1, REA1; midasin	NA	NA	NA	NA
K13140	INTS3; integrator complex subunit 3	NA	NA	NA	NA
K07935	IFT22, RABL5; intraflagellar transport protein 22	NA	NA	NA	NA
K17544	TBCK; TBC domain-containing protein kinase-like protein	NA	NA	NA	NA
K03657	uvrD, pcrA; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]	NA	NA	NA	NA
K11143	DNAI2; dynein intermediate chain 2, axonemal	NA	NA	NA	NA
K00218	por; protochlorophyllide reductase [EC:1.3.1.33]	NA	NA	NA	NA
K00764	purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]	Pathway module	Nucleotide and amino acid metabolism	Purine metabolism	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP
K19603	MAPK15; mitogen-activated protein kinase 15 [EC:2.7.11.24]	NA	NA	NA	NA
K10589	UBE3C; ubiquitin-protein ligase E3 C [EC:2.3.2.26]	NA	NA	NA	NA
K03237	EIF2S1; translation initiation factor 2 subunit 1	NA	NA	NA	NA
K10582	UBE2Q; ubiquitin-conjugating enzyme E2 Q [EC:2.3.2.23]	NA	NA	NA	NA
K13858	SLC4A7; solute carrier family 4 (sodium bicarbonate cotransporter), member 7	NA	NA	NA	NA
K18443	GBF1; golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1	NA	NA	NA	NA
K00109	E1.1.99.2; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]	NA	NA	NA	NA
K09527	DNAJC7; DnaJ homolog subfamily C member 7	NA	NA	NA	NA
K10300	FBXO18; F-box protein, helicase, 18 [EC:3.6.4.12]	NA	NA	NA	NA
K01792	E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]	NA	NA	NA	NA
K02684	PRI1; DNA primase small subunit [EC:2.7.7.-]	Structural complex	Genetic information processing	DNA polymerase	DNA polymerase alpha / primase complex
K09380	ZFHX4; zinc finger homeobox protein 4	NA	NA	NA	NA
K15104	SLC25A11, OGC; solute carrier family 25 (mitochondrial oxoglutarate transporter), member 11	NA	NA	NA	NA
K10359	MYO7; myosin VII	NA	NA	NA	NA
K07899	RAB9A, RAB9; Ras-related protein Rab-9A	NA	NA	NA	NA
K18441	CYTH; cytohesin	NA	NA	NA	NA
K02886	RP-L2, MRPL2, rplB; large subunit ribosomal protein L2	Structural complex	Genetic information processing	Ribosome	Ribosome, bacteria
K02886	RP-L2, MRPL2, rplB; large subunit ribosomal protein L2	Structural complex	Genetic information processing	Ribosome	Ribosome, archaea
K05620	TGM3; transglutaminase 3 [EC:2.3.2.13]	NA	NA	NA	NA
K06095	MPDZ, MUPP1, Patj; multiple PDZ domain protein	NA	NA	NA	NA
K11863	ATXN3, MJD; Ataxin-3 [EC:3.4.22.-]	NA	NA	NA	NA
K03797	E3.4.21.102, prc, ctpA; carboxyl-terminal processing protease [EC:3.4.21.102]	NA	NA	NA	NA
K15538	MANEA; glycoprotein endo-alpha-1,2-mannosidase [EC:3.2.1.130]	NA	NA	NA	NA
K01070	frmB, ESD, fghA; S-formylglutathione hydrolase [EC:3.1.2.12]	NA	NA	NA	NA
K01735	aroB; 3-dehydroquinate synthase [EC:4.2.3.4]	Pathway module	Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
K12641	LMNA; lamin A/C	NA	NA	NA	NA
K09489	HSPA4; heat shock 70kDa protein 4	NA	NA	NA	NA
K00569	TPMT, tpmT; thiopurine S-methyltransferase [EC:2.1.1.67]	NA	NA	NA	NA
K04755	fdx; ferredoxin, 2Fe-2S	NA	NA	NA	NA
K01079	serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]	Pathway module	Nucleotide and amino acid metabolism	Serine and threonine metabolism	Serine biosynthesis, glycerate-3P => serine
K06631	PLK1; polo-like kinase 1 [EC:2.7.11.21]	NA	NA	NA	NA
K12405	HSD17B4; 3-hydroxyacyl-CoA dehydrogenase / 3a,7a,12a-trihydroxy-5b-cholest-24-enoyl-CoA hydratase / enoyl-CoA hydratase 2 [EC:1.1.1.35 4.2.1.107 4.2.1.119]	Pathway module	Carbohydrate and lipid metabolism	Sterol biosynthesis	Bile acid biosynthesis, cholesterol => cholate
K18669	DYRK2_3_4; dual specificity tyrosine-phosphorylation-regulated kinase 2/3/4 [EC:2.7.12.1]	NA	NA	NA	NA
K14724	SLC9A8, NHE8; solute carrier family 9 (sodium/hydrogen exchanger), member 8	NA	NA	NA	NA
K05012	CLCN3_4_5; chloride channel 3/4/5	NA	NA	NA	NA
K09113	MLX; MAX-like protein X	NA	NA	NA	NA
K01374	CTSO; cathepsin O [EC:3.4.22.42]	NA	NA	NA	NA
K14555	UTP13, TBL3; U3 small nucleolar RNA-associated protein 13	NA	NA	NA	NA
K01922	PPCS, coaB; phosphopantothenate-cysteine ligase [EC:6.3.2.5]	Pathway module	Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	Coenzyme A biosynthesis, pantothenate => CoA
K19801	PI4KB; phosphatidylinositol 4-kinase B [EC:2.7.1.67]	Pathway module	Carbohydrate and lipid metabolism	Lipid metabolism	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4
K03428	bchM, chlM; magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11]	NA	NA	NA	NA
K00889	PIP5K; 1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]	Pathway module	Carbohydrate and lipid metabolism	Lipid metabolism	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4
K02519	infB, MTIF2; translation initiation factor IF-2	NA	NA	NA	NA
K12599	SKI2, SKIV2L; antiviral helicase SKI2 [EC:3.6.4.-]	Structural complex	Genetic information processing	RNA processing	Ski complex
K11854	USP35_38; ubiquitin carboxyl-terminal hydrolase 35/38 [EC:3.4.19.12]	NA	NA	NA	NA
K04078	groES, HSPE1; chaperonin GroES	NA	NA	NA	NA
K16628	COL7A; collagen, type VII, alpha	NA	NA	NA	NA
K14454	GOT1; aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]	Pathway module	Energy metabolism	Carbon fixation	C4-dicarboxylic acid cycle, NAD - malic enzyme type
K14454	GOT1; aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]	Pathway module	Energy metabolism	Carbon fixation	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
K16745	B9D2; B9 domain-containing protein 2	NA	NA	NA	NA
K13941	folKP; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase / dihydropteroate synthase [EC:2.7.6.3 2.5.1.15]	Pathway module	Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	Tetrahydrofolate biosynthesis, GTP => THF
K19869	NME9, TXNDC6; thioredoxin domain-containing protein 6	NA	NA	NA	NA
K07931	RABL2; Rab-like protein 2	NA	NA	NA	NA
K07056	rsmI; 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]	NA	NA	NA	NA
K05916	hmp, YHB1; nitric oxide dioxygenase [EC:1.14.12.17]	NA	NA	NA	NA
K04798	pfdB, PFDN6; prefoldin beta subunit	NA	NA	NA	NA
K09275	TFCP2; transcription factor CP2 and related proteins	NA	NA	NA	NA
K00797	speE, SRM; spermidine synthase [EC:2.5.1.16]	Pathway module	Nucleotide and amino acid metabolism	Cysteine and methionine metabolism	Methionine salvage pathway
K00797	speE, SRM; spermidine synthase [EC:2.5.1.16]	Pathway module	Nucleotide and amino acid metabolism	Polyamine biosynthesis	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine
K01148	PARN; poly(A)-specific ribonuclease [EC:3.1.13.4]	NA	NA	NA	NA
K05605	HIBCH; 3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
K13811	PAPSS; 3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25]	Pathway module	Energy metabolism	Sulfur metabolism	Assimilatory sulfate reduction, sulfate => H2S
K00234	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Citrate cycle (TCA cycle, Krebs cycle)
K00234	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00234	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]	Structural complex	Energy metabolism	ATP synthesis	Succinate dehydrogenase (ubiquinone)
K04836	SCN3A; voltage-gated sodium channel type III alpha	NA	NA	NA	NA
K00280	LOXL2_3_4; lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]	NA	NA	NA	NA
K13958	KLHL36; kelch-like protein 36	NA	NA	NA	NA
K16578	CLASP1_2; CLIP-associating protein 1/2	NA	NA	NA	NA
K03686	dnaJ; molecular chaperone DnaJ	NA	NA	NA	NA
K03165	TOP3; DNA topoisomerase III [EC:5.99.1.2]	Structural complex	Genetic information processing	Repair system	Bloom's syndrome complex
K04855	CACNA1H; voltage-dependent calcium channel T type alpha-1H	NA	NA	NA	NA
K02493	hemK, prmC, HEMK; release factor glutamine methyltransferase [EC:2.1.1.297]	NA	NA	NA	NA
K00738	MGAT4A_B; alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase A/B [EC:2.4.1.145]	Pathway module	Carbohydrate and lipid metabolism	Glycan metabolism	N-glycan biosynthesis, complex type
K01734	mgsA; methylglyoxal synthase [EC:4.2.3.3]	NA	NA	NA	NA
K10632	BRAP; BRCA1-associated protein [EC:2.3.2.27]	NA	NA	NA	NA
K03937	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4	Structural complex	Energy metabolism	ATP synthesis	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria
K09387	FOXA1, HNF3A; forkhead box protein A1, hepatocyte nuclear factor 3-alpha	NA	NA	NA	NA
K02989	RP-S5e, RPS5; small subunit ribosomal protein S5e	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K02962	RP-S17e, RPS17; small subunit ribosomal protein S17e	Structural complex	Genetic information processing	Ribosome	Ribosome, archaea
K02962	RP-S17e, RPS17; small subunit ribosomal protein S17e	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K09500	CCT8; T-complex protein 1 subunit theta	NA	NA	NA	NA
K08281	pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]	NA	NA	NA	NA
K15634	gpmB; probable phosphoglycerate mutase [EC:5.4.2.12]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K15634	gpmB; probable phosphoglycerate mutase [EC:5.4.2.12]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Glycolysis, core module involving three-carbon compounds
K15634	gpmB; probable phosphoglycerate mutase [EC:5.4.2.12]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Gluconeogenesis, oxaloacetate => fructose-6P
K10688	UBE2W, UBC16; ubiquitin-conjugating enzyme E2 W [EC:2.3.2.25]	NA	NA	NA	NA
K03424	tatD; TatD DNase family protein [EC:3.1.21.-]	NA	NA	NA	NA
K09856	RASSF9_10; Ras association domain-containing protein 9/10	NA	NA	NA	NA
K17261	CAP1_2, SRV2; adenylyl cyclase-associated protein	NA	NA	NA	NA
K10082	LMAN2, VIP36; lectin, mannose-binding 2	NA	NA	NA	NA
K07526	SRGAP; SLIT-ROBO Rho GTPase activating protein	NA	NA	NA	NA
K08341	GABARAP, ATG8, LC3; GABA(A) receptor-associated protein	NA	NA	NA	NA
K01412	PMPCA, MAS2; mitochondrial-processing peptidase subunit alpha [EC:3.4.24.64]	NA	NA	NA	NA
K11416	SIRT6, SIR2L6; mono-ADP-ribosyltransferase sirtuin 6 [EC:2.4.2.31]	NA	NA	NA	NA
K02883	RP-L18e, RPL18; large subunit ribosomal protein L18e	Structural complex	Genetic information processing	Ribosome	Ribosome, archaea
K02883	RP-L18e, RPL18; large subunit ribosomal protein L18e	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K08544	NR2C2, TR4; testicular receptor 4	NA	NA	NA	NA
K00630	ATS1; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]	Pathway module	Carbohydrate and lipid metabolism	Lipid metabolism	Triacylglycerol biosynthesis
K11320	EP400; E1A-binding protein p400 [EC:3.6.4.-]	NA	NA	NA	NA
K03100	lepB, TPP; signal peptidase I [EC:3.4.21.89]	NA	NA	NA	NA
K15683	NFXL1, OZFP; NF-X1-type zinc finger protein NFXL1	NA	NA	NA	NA
K03037	PSMD6, RPN7; 26S proteasome regulatory subunit N7	Structural complex	Genetic information processing	Proteasome	Proteasome, 19S regulatory particle (PA700)
K11294	NCL, NSR1; nucleolin	NA	NA	NA	NA
K13089	ILF2; interleukin enhancer-binding factor 2	NA	NA	NA	NA
K03885	ndh; NADH dehydrogenase [EC:1.6.99.3]	NA	NA	NA	NA
K09560	ST13; suppressor of tumorigenicity protein 13	NA	NA	NA	NA
K19905	SYT5; synaptotagmin-5	NA	NA	NA	NA
K15178	RTF1; RNA polymerase-associated protein RTF1	NA	NA	NA	NA
K00658	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Citrate cycle (TCA cycle, Krebs cycle)
K00658	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00658	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]	Pathway module	Nucleotide and amino acid metabolism	Lysine metabolism	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
K05858	PLCB; phosphatidylinositol phospholipase C, beta [EC:3.1.4.11]	Pathway module	Carbohydrate and lipid metabolism	Lipid metabolism	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4
K01099	INPP5B_F; inositol polyphosphate 5-phosphatase INPP5B/F [EC:3.1.3.36]	NA	NA	NA	NA
K02291	crtB; 15-cis-phytoene/all-trans-phytoene synthase [EC:2.5.1.32 2.5.1.99]	Pathway module	Carbohydrate and lipid metabolism	Other terpenoid biosynthesis	beta-Carotene biosynthesis, GGAP => beta-carotene
K03066	PSMC5, RPT6; 26S proteasome regulatory subunit T6	Structural complex	Genetic information processing	Proteasome	Proteasome, 19S regulatory particle (PA700)
K11658	BAZ1B, WSTF; bromodomain adjacent to zinc finger domain protein 1B	NA	NA	NA	NA
K00645	fabD; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	Pathway module	Carbohydrate and lipid metabolism	Fatty acid metabolism	Fatty acid biosynthesis, initiation
K01835	pgm; phosphoglucomutase [EC:5.4.2.2]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Nucleotide sugar biosynthesis, glucose => UDP-glucose
K05643	ABCA3; ATP-binding cassette, subfamily A (ABC1), member 3	NA	NA	NA	NA
K11583	PPP2R3; serine/threonine-protein phosphatase 2A regulatory subunit B''	NA	NA	NA	NA
K09507	DNAJB1; DnaJ homolog subfamily B member 1	NA	NA	NA	NA
K18730	GIGYF; PERQ amino acid-rich with GYF domain-containing protein	NA	NA	NA	NA
K13431	SRPR; signal recognition particle receptor subunit alpha	NA	NA	NA	NA
K14652	ribBA; 3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]	Pathway module	Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD
K13095	SF1; splicing factor 1	NA	NA	NA	NA
K07897	RAB7A; Ras-related protein Rab-7A	NA	NA	NA	NA
K08823	CLK; CDC-like kinase [EC:2.7.12.1]	NA	NA	NA	NA
K01349	FURIN, PCSK3; furin [EC:3.4.21.75]	NA	NA	NA	NA
K01188	E3.2.1.21; beta-glucosidase [EC:3.2.1.21]	NA	NA	NA	NA
K19678	IFT80; intraflagellar transport protein 80	NA	NA	NA	NA
K02737	PSMB5; 20S proteasome subunit beta 5 [EC:3.4.25.1]	Structural complex	Genetic information processing	Proteasome	Proteasome, 20S core particle
